Episode,Total_Reward,Avg_SoC,Epsilon
344,136.5,1.0,0.179
345,137.0,1.0,0.178
346,143.0,1.0,0.177
347,141.0,1.0,0.177
348,156.0,1.0,0.176
349,151.5,1.0,0.175
350,118.0,1.0,0.174
351,146.0,1.0,0.173
352,127.0,1.0,0.172
353,149.0,1.0,0.171
354,143.5,1.0,0.17
355,136.5,1.0,0.17
356,136.5,1.0,0.169
357,140.0,1.0,0.168
358,131.5,1.0,0.167
359,160.5,1.0,0.166
360,156.0,1.0,0.165
361,136.0,1.0,0.165
362,133.0,1.0,0.164
363,146.5,1.0,0.163
364,159.0,1.0,0.162
365,150.5,1.0,0.161
366,138.0,1.0,0.16
367,136.5,1.0,0.16
368,143.0,1.0,0.159
369,117.0,1.0,0.158
370,135.0,1.0,0.157
371,137.5,1.0,0.157
372,135.5,1.0,0.156
373,160.5,1.0,0.155
374,133.0,1.0,0.154
375,138.5,1.0,0.153
376,153.0,1.0,0.153
377,147.5,1.0,0.152
378,156.0,1.0,0.151
379,144.5,1.0,0.15
380,136.0,1.0,0.15
381,151.5,1.0,0.149
382,142.0,1.0,0.148
383,153.0,1.0,0.147
384,142.0,1.0,0.147
385,140.5,1.0,0.146
386,136.5,1.0,0.145
387,133.0,1.0,0.144
388,147.5,1.0,0.144
389,134.0,1.0,0.143
390,146.0,1.0,0.142
391,147.0,1.0,0.142
392,160.5,1.0,0.141
393,150.5,1.0,0.14
394,145.5,1.0,0.139
395,115.5,1.0,0.139
396,109.5,1.0,0.138
397,156.0,1.0,0.137
398,142.0,1.0,0.137
399,147.5,1.0,0.136
400,150.5,1.0,0.135
401,144.5,1.0,0.135
402,141.0,1.0,0.134
403,144.5,1.0,0.133
404,160.5,1.0,0.133
405,144.5,1.0,0.132
406,137.0,1.0,0.131
407,156.0,1.0,0.131
408,136.5,1.0,0.13
409,152.0,1.0,0.129
410,153.0,1.0,0.129
411,153.0,1.0,0.128
412,150.5,1.0,0.127
413,128.0,1.0,0.127
414,123.5,1.0,0.126
415,152.0,1.0,0.126
416,152.0,1.0,0.125
417,149.0,1.0,0.124
418,109.0,1.0,0.124
419,151.5,1.0,0.123
420,147.5,1.0,0.122
421,153.0,1.0,0.122
422,149.0,1.0,0.121
423,138.0,1.0,0.121
424,154.5,1.0,0.12
425,139.0,1.0,0.119
426,141.5,1.0,0.119
427,145.0,1.0,0.118
428,146.0,1.0,0.118
429,150.5,1.0,0.117
430,154.5,1.0,0.116
431,133.5,1.0,0.116
432,146.0,1.0,0.115
433,138.5,1.0,0.115
434,139.5,1.0,0.114
435,149.5,1.0,0.114
436,163.5,1.0,0.113
437,137.5,1.0,0.112
438,146.0,1.0,0.112
439,150.0,1.0,0.111
440,143.5,1.0,0.111
441,138.0,1.0,0.11
442,153.0,1.0,0.11
443,146.5,1.0,0.109
444,144.5,1.0,0.109
445,139.5,1.0,0.108
446,151.5,1.0,0.107
447,143.5,1.0,0.107
448,139.0,1.0,0.106
449,127.5,1.0,0.106
450,134.5,1.0,0.105
451,138.0,1.0,0.105
452,144.5,1.0,0.104
453,141.5,1.0,0.104
454,154.5,1.0,0.103
455,146.0,1.0,0.103
456,154.5,1.0,0.102
457,157.5,1.0,0.102
458,145.0,1.0,0.101
459,146.0,1.0,0.101
460,138.5,1.0,0.1
461,154.5,1.0,0.1
462,154.5,1.0,0.099
463,160.5,1.0,0.099
464,147.5,1.0,0.098
465,149.0,1.0,0.098
466,152.0,1.0,0.097
467,153.0,1.0,0.097
468,132.0,1.0,0.096
469,131.5,1.0,0.096
470,151.5,1.0,0.095
471,154.5,1.0,0.095
472,133.0,1.0,0.094
473,150.0,1.0,0.094
474,157.5,1.0,0.093
475,144.5,1.0,0.093
476,146.0,1.0,0.092
477,159.0,1.0,0.092
478,153.0,1.0,0.092
479,149.0,1.0,0.091
480,130.0,1.0,0.091
481,159.0,1.0,0.09
482,153.0,1.0,0.09
483,146.0,1.0,0.089
484,156.0,1.0,0.089
485,165.0,1.0,0.088
486,146.0,1.0,0.088
487,143.0,1.0,0.088
488,141.0,1.0,0.087
489,154.5,1.0,0.087
490,150.5,1.0,0.086
491,152.0,1.0,0.086
492,163.5,1.0,0.085
493,146.0,1.0,0.085
494,147.5,1.0,0.084
495,159.0,1.0,0.084
496,140.0,1.0,0.084
497,157.5,1.0,0.083
498,149.0,1.0,0.083
499,142.5,1.0,0.082
500,159.0,1.0,0.082
